admin2,hc_cluster_id
NABIRE,10
NAGAN RAYA,10
NAGEKEO,7
NATUNA,13
NDUGA,18
NGADA,6
NGANJUK,3
NGAWI,3
NIAS,13
NIAS BARAT,13
NIAS SELATAN,13
NIAS UTARA,13
NUNUKAN,10
OGAN ILIR,9
OGAN KOMERING ILIR,9
OGAN KOMERING ULU,9
OGAN KOMERING ULU SELATAN,10
OGAN KOMERING ULU TIMUR,9
PACITAN,7
PADANG LAWAS,9
PADANG LAWAS UTARA,9
PADANG PARIAMAN,10
PAKPAK BHARAT,15
PAMEKASAN,2
PANDEGLANG,13
PANGANDARAN,7
PANGKAJENE DAN KEPULAUAN,8
PANIAI,20
PARIGI MOUTONG,10
PASAMAN,10
PASAMAN BARAT,10
PASER,9
PASURUAN,3
PATI,2
PEGUNUNGAN ARFAK,18
PEGUNUNGAN BINTANG,18
PEKALONGAN,8
PELALAWAN,9
PEMALANG,8
PENAJAM PASER UTARA,9
PENUKAL ABAB LEMATANG ILIR,9
PESAWARAN,10
PESISIR BARAT,10
PESISIR SELATAN,10
PIDIE,9
PIDIE JAYA,9
PINRANG,8
POHUWATO,12
POLEWALI MANDAR,13
PONOROGO,6
POSO,14
PRINGSEWU,10
PROBOLINGGO,7
PULANG PISAU,9
PULAU MOROTAI,13
PULAU TALIABU,10
PUNCAK,20
PUNCAK JAYA,18
PURBALINGGA,7
PURWAKARTA,8
PURWOREJO,7
RAJA AMPAT,10
REJANG LEBONG,14
REMBANG,2
ROKAN HILIR,9
ROKAN HULU,9
ROTE NDAO,1
SABU RAIJUA,1
SAMBAS,9
SAMOSIR,15
SAMPANG,2
SANGGAU,9
SARMI,10
SAROLANGUN,9
SEKADAU,9
SELUMA,10
SEMARANG,6
SERAM BAGIAN BARAT,10
SERAM BAGIAN TIMUR,10
SERANG,13
SERDANG BEDAGAI,9
SERUYAN,9
SIAK,9
SIAU TAGULANDANG BIARO,13
SIDENRENG RAPPANG,8
SIDOARJO,3
SIGI,10
SIJUNJUNG,10
SIKKA,2
SIMALUNGUN,10
SIMEULUE,13
SINJAI,8
SINTANG,9
SITUBONDO,3
SLEMAN,6
SOLOK,14
SOLOK SELATAN,14
SOPPENG,8
SORONG,10
SORONG SELATAN,9
SRAGEN,3
SUBANG,8
SUKABUMI,6
SUKAMARA,9
SUKOHARJO,3
SUMBA BARAT,7
SUMBA BARAT DAYA,2
SUMBA TENGAH,7
SUMBA TIMUR,7
SUMBAWA,2
SUMBAWA BARAT,2
SUMEDANG,6
SUMENEP,2
SUPIORI,13
TABALONG,9
TABANAN,7
TAKALAR,8
TAMBRAUW,14
TANA TIDUNG,11
TANA TORAJA,15
TANAH BUMBU,9
TANAH DATAR,14
TANAH LAUT,9
TANGERANG,8
TANGGAMUS,10
TANJUNG JABUNG BARAT,9
TANJUNG JABUNG TIMUR,9
TAPANULI SELATAN,10
TAPANULI TENGAH,10
TAPANULI UTARA,15
TAPIN,9
TASIKMALAYA,6
TEBO,9
TEGAL,8
TELUK BINTUNI,9
TELUK WONDAMA,10
TEMANGGUNG,6
TIMOR TENGAH SELATAN,5
TIMOR TENGAH UTARA,5
TOBA SAMOSIR,15
TOJO UNA-UNA,10
TOLI-TOLI,10
TOLIKARA,18
TORAJA UTARA,15
TRENGGALEK,7
TUBAN,2
TULANG BAWANG BARAT,9
TULANGBAWANG,9
TULUNGAGUNG,6
WAJO,8
WAKATOBI,13
WAROPEN,10
WAY KANAN,9
WONOGIRI,6
WONOSOBO,6
YAHUKIMO,18
YALIMO,15
